sample_type,metric,description,stage,metrics_file,nn_lower,nn_upper,ideal_lower,ideal_upper,metrics_file_generated,component_report_generated,Rationale/reference
Experimental_lane,ex_lane_correct_product_ratio,"Ratio of products that have adapters, sample indices, UMIs, R1 and R2 in the expected order and map to the same chromosome within ~500bp",Align experimental sample reads,correctproduct_metrics.txt,0.3,1,0.5,1,TRUE,TRUE,Based on correct product ratio observed in CODECseq paper
Experimental,ex_read_alignment_rate,Alignment rate of processed reads,Align experimental sample reads,map_metrics.txt,70,100,80,100,TRUE,TRUE,Higher alignment rates indicate high quality reads
Experimental,ex_multimapping_rate,Percentage of reads that map to multiple genomic locations,Align experimental sample reads,map_metrics.txt,0,20,0,5,TRUE,TRUE,Reads should almost all map to only one position
Experimental,ex_insert_size,Mean insert size (start of R1 to end of R2) as determined by alignment (bp),Align experimental sample reads,insert_metrics.txt,50,300,100,200,TRUE,TRUE,"150bp gives ideal overlap, 300 gives no overlap and 50 gives 50bp overlap"
Matched,ms_read_alignment_rate,Alignment rate of processed reads,Align matched sample reads,alignment_stats.txt,50,100,80,100,TRUE,TRUE,Higher alignment rates indicate high quality reads
Matched,ms_multimapping_rate,Percentage of reads that map to multiple genomic locations,Align matched sample reads,alignment_stats.txt,0,20,0,5,TRUE,TRUE,Reads should almost all map to only one position
Matched,ms_duplication_rate,Percentage of reads marked as duplicates,Align matched sample reads,alignment_stats.txt,0,10,0,5,TRUE,TRUE,Duplication rates are typically ~3-7% with PCR-free prep
Matched,ms_insert_size,Peak of insert size distribution as determined by alignment (bp),Align matched sample reads,insert_size_metrics.txt,300,600,350,550,TRUE,TRUE,Illumina PCR-free prep should yield mean insert size 350-550bp depending on size selection
Matched,ms_germline_variants,Tally of the total number of variants called (x10^6  variants),Call germline variants,variantCall_summary.txt,4,6,4.5,5.5,TRUE,TRUE, Does the number of called variants agrees with the number of expected germline variants in the population (TABLE 1: https://pmc.ncbi.nlm.nih.gov/articles/PMC9439720/)
Matched,ms_SNV_indel_ratio,Calculate the ratio of SNV's / INDELS,Call germline variants,variantCall_summary.txt,4.3,4.9,4.4,4.8,TRUE,TRUE,Does the SNV/INDEL ratio agree with the expected population ratio (TABLE 1: https://pmc.ncbi.nlm.nih.gov/articles/PMC9439720/)
Matched,ms_insertion_deletion_ratio,Assess whether the IN/DEL ratio agress with the literature,Call germline variants,variantCall_summary.txt,0.91,0.95,0.92,0.94,TRUE,TRUE,TABLE 1: https://pmc.ncbi.nlm.nih.gov/articles/PMC9439720/
Matched,ms_MNP_other_variants,Number of MNP / OTHER variants after decomposition,Call germline variants,variantCall_summary.txt,0,0,0,0,TRUE,TRUE,MNP/OTHER should be converted to SNVs/INDELs
Matched,ms_transition_transversion_ratio,Assess whether the Ti/Tv ratio agrees with the expected ratio,Call germline variants,variantCall_summary.txt,1.9,2.2,2.05,2.15,TRUE,TRUE,https://onlinelibrary.wiley.com/doi/10.1002/bimj.202300278
Matched,ms_het_hom_ratio,Assess whether the Het/Hom ratio agrees with the expected ratio,Call germline variants,variantCall_summary.txt,1.2,2.1,1.3,2,TRUE,TRUE,https://onlinelibrary.wiley.com/doi/10.1002/bimj.202300278
Experimental,ex_somatic_depth_per_position,Percent of somatic SNVs called that have >1x alt depth,Call somatic variants,somatic_clustering_metrics.txt,0,1,0,0.01,TRUE,FALSE,"Most somatic mutations are expected to be very low VAF (<0.1%), so positions with >1x alt depth should be very rare"
Experimental,ex_somatic_variants_near_softclip,Percent of variant calls with somatic SNVs called within 150bp of any soft clipping event,Call somatic variants,TBD,0,1,0,0.01,FALSE,FALSE,Any variant called near soft clipping is at high risk of being due to incorrect alignment/contamination 
Experimental,ex_duplication_rate,Percentage of library that is flagged as UMI duplicates,Create double strand consensus,duplication_metrics.txt,0,40,0,25,TRUE,TRUE,Based on duplication rate observed in CODECseq paper
Experimental,ex_duplex_realignment,Percentage of reads which successfully aligned during DSC realignment,Create double strand consensus,dsc_remap_metrics.txt,99,100,99.5,100,TRUE,TRUE,
Experimental,ex_duplex_mapQ,Percentage of reads with a mapQ score of at least 60,Create double strand consensus,dsc_remap_metrics.txt,60,100,70,100,TRUE,TRUE,
Experimental,ex_mean_analyzable_duplex_depth,Total duplex bases in include_bed region divided by total positions in include_bed region,Create double strand consensus,dsc_coverage_metrics.txt,0.5,Inf,1,Inf,TRUE,TRUE,"Ideally >1x depth for good coverage, but max depth depends on experimental aims. To be considered a duplex base, requires >=Q70. "
Experimental,ex_variant_call_eligible,Percentage of genome eligible for variant calling (duplex depth > 0 & unmasked),Call somatic variants,dsc_coverage_metrics.txt,5,100,20,100,TRUE,TRUE,"Will be lower than bedregions coverage. To be considered a duplex base, requires >=Q70. "
Experimental,ex_duplex_coverage,Percentage of genome with duplex depth > 0,Create double strand consensus,dsc_coverage_metrics.txt,14.5,100,26.1,100,TRUE,TRUE,"Will be lower than bedregions coverage. To be considered a duplex base, requires >=Q70. "
Experimental,ex_duplex_base_disagreement,Rate at which Watson and Crick complementary bases disagree (total R1R2 disagreements divided by total duplex bases for each sample),Create double strand consensus,TBD,5.00E-04,8.00E-04,2.00E-04,5.00E-04,FALSE,FALSE,"nn_upper of 8e-4 = ~160 false positive somatic mutations, ideal_lower = ~18 false positive somatic mutations."
Matched,gDNA_yield,gDNA required for quantitation and standard Illumina sequencing by AGRF (ng),Library preparation,Qubit,650,1300,1300,Inf,TRUE,TRUE,"50ng for gel + 600ng requested by AGRF, more gives buffer"
Matched,gDNA_yield_variability,Variability in gDNA obtained from samples of the same type (normalised IQR),Library preparation,Qubit,0,0.3,0,0.2,TRUE,TRUE,0.2 is a common target for assay development
Matched,gDNA_fragment_size,gDNA fragment sizes required for standard Illumina sequencing by AGRF (bp),Library preparation,E-Gel,10000,20000,20000,Inf,TRUE,TRUE,"Illumina recommends fragment sizes of at least 10kb, 20kb+ is ideal for tagmentation"
Experimental,gDNA_yield,gDNA required for CODECseq library preparation (ng),Library preparation,Qubit,1050,2100,2100,Inf,TRUE,TRUE,"1000ng is absolute minimum for CODECseq + 50ng for gel, more gives buffer"
Experimental,Fragmented_DNA_yield,Yield of fragmented DNA required for quantitation and rest of CODECseq library preparation (ng),Library preparation,Qubit,70,80,80,Inf,TRUE,TRUE,"70ng is absolute minimum, more gives buffer"
Experimental,Fragmented_DNA_yield_variability,Variability in fragmented DNA yield between samples (normalised IQR),Library preparation,Qubit,0,0.3,0,0.2,TRUE,TRUE,0.2 is a common target for assay development
Experimental,Fragmented_DNA_insert_size,Fragment sizes of DNA inserts following enzymatic fragmentation and size selection (bp),Library preparation,E-Gel,50,300,100,200,TRUE,TRUE,"150bp gives ideal overlap, 300 gives no overlap and 50 gives 50bp overlap"
Experimental,Amplified_library_yield,"Yield of amplified DNA required for quantitation and sequencing by AGRF (ng, assuming 650bp fragment size and 4 samples per lane)",Library preparation,Qubit,85,100,100,200,TRUE,TRUE,"85ng is absolute minimum, more gives buffer"
Experimental,Amplified_library_yield_variability,Variability in amplified DNA yield between samples (normalised IQR),Library preparation,Qubit,0,0.3,0,0.2,TRUE,TRUE,0.2 is a common target for assay development
Experimental,Amplified_library_fragment_size,Fragment sizes of library following amplification (bp),Library preparation,E-Gel,370,870,470,670,TRUE,TRUE,"570bp gives ideal overlap, 870bp gives no overlap and 370bp gives 50bp overlap"
Experimental,Amplified_no_template_control_size,Fragment sizes of undiluted no template control after amplification,Library preparation,E-Gel,284,568,284,568,TRUE,TRUE,Defined bands at 284 (quadruplex) and 568bp (quadruplex dimer) without smears. Band at ~400bp may also be present.
Matched,ms_mask_coverage,Percentage of reference genome masked by combined mask,Mask regions,mask_metrics.txt,0.1,30,0.1,20,TRUE,TRUE,"Even if only masking germline variants, percent masked should be at least 0.1%"
Experimental_lane,ex_lane_per_sequence_quality_score_r1,Peak in mean sequence quality across r1 reads (Phred score),Preprocess experimental sample fastq,r1_fastqc_raw_metrics.zip,35,40,39,40,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental_lane,ex_lane_per_sequence_quality_score_r2,Peak in mean sequence quality across r2 reads (Phred score),Preprocess experimental sample fastq,r2_fastqc_raw_metrics.zip,35,40,39,40,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental_lane,ex_lane_per_base_sequencing_quality_r1,Lower quartile of IQR for base quality at each position in reads (Phred score),Preprocess experimental sample fastq,r1_fastqc_raw_metrics.zip,30,40,35,40,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental_lane,ex_lane_per_base_sequencing_quality_r2,Lower quartile of IQR for base quality at each position in reads (Phred score),Preprocess experimental sample fastq,r2_fastqc_raw_metrics.zip,30,40,35,40,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental_lane,ex_lane_per_tile_sequencing_quality_r1,Percent of flow cell tiles where mean quality score is <Q36,Preprocess experimental sample fastq,r1_fastqc_raw_metrics.zip,0,10,0,5,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental_lane,ex_lane_per_tile_sequencing_quality_r2,Percent of flow cell tiles where mean quality score is <Q36,Preprocess experimental sample fastq,r2_fastqc_raw_metrics.zip,0,10,0,5,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental_lane,ex_lane_sequence_length_r1,Peak of read length distribution (bp),Preprocess experimental sample fastq,r1_fastqc_raw_metrics.zip,150,150,150,150,TRUE,TRUE,Reads should all be 150bp (if requesting 150PE)
Experimental_lane,ex_lane_sequence_length_r2,Peak of read length distribution (bp),Preprocess experimental sample fastq,r2_fastqc_raw_metrics.zip,150,150,150,150,TRUE,TRUE,Reads should all be 150bp (if requesting 150PE)
Experimental_lane,ex_lane_percent_read_contribution,Difference in the percentage of total read pairs that belong to each sample,Preprocess experimental sample fastq,demux_metrics.json,0,50,0,20,TRUE,TRUE,"If products are correctly formed in all samples, the difference in total reads within the pool should be small "
Experimental_lane,ex_lane_total_reads_r1,Total number of reads obtained from standard Illumina sequencing by AGRF (x million reads),Preprocess experimental sample fastq,r1_fastqc_raw_metrics.zip,1000,Inf,3000,Inf,TRUE,TRUE,"nn based on 1B lane, ideal based on 3B lane"
Experimental_lane,ex_lane_total_reads_r2,Total number of reads obtained from standard Illumina sequencing by AGRF (x million reads),Preprocess experimental sample fastq,r2_fastqc_raw_metrics.zip,750,Inf,2250,Inf,TRUE,TRUE,"nn based on 1B lane, ideal based on 3B lane"
Experimental,ex_percent_reads_filtered_readlength,Percentage of initial reads filtered due to low read length,Preprocess experimental sample fastq,filter_readlength_metrics.json,0,30,0,10,TRUE,TRUE,Typically read pairs are filtered if read length <70bp
Experimental,ex_percent_reads_filtered_meanquality,Percentage of remaining reads filtered due to low mean quality score,Preprocess experimental sample fastq,filter_meanquality_metrics.json,0,20,0,10,TRUE,TRUE,Typically read pairs are filtered if mean quality score is <36x
Experimental,ex_overrepresented_sequences_r1,Percentage of total sequences made up by any one identical sequence,Preprocess experimental sample fastq,r1_filter_metrics.zip,0,1,0,0.1,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental,ex_overrepresented_sequences_r2,Percentage of total sequences made up by any one identical sequence,Preprocess experimental sample fastq,r2_filter_metrics.zip,0,1,0,0.1,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental,ex_gc_deviation_r1,The percentage of reads deviating from a normal distribution for mean GC content,Preprocess experimental sample fastq,r1_filter_metrics.zip,0,30,0,15,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental,ex_gc_deviation_r2,The percentage of reads deviating from a normal distribution for mean GC content,Preprocess experimental sample fastq,r2_filter_metrics.zip,0,30,0,15,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental,ex_per_base_content_diff_r1,Percent difference in the proportion of A/T/C/G at each position in reads,Preprocess experimental sample fastq,r1_filter_metrics.zip,0,20,0,10,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental,ex_per_base_content_diff_r2,Percent difference in the proportion of A/T/C/G at each position in reads,Preprocess experimental sample fastq,r2_filter_metrics.zip,0,20,0,10,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental,ex_per_base_N_content_r1,Percentage of bases at each read position recorded as N,Preprocess experimental sample fastq,r1_filter_metrics.zip,0,10,0,5,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Experimental,ex_per_base_N_content_r2,Percentage of bases at each read position recorded as N,Preprocess experimental sample fastq,r2_filter_metrics.zip,0,10,0,5,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_per_sequence_quality_score_r1,Peak in mean sequence quality across r1 reads (Phred score),Preprocess matched sample fastq,r1_raw_fastqc.zip,35,40,39,40,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_per_sequence_quality_score_r2,Peak in mean sequence quality across r2 reads (Phred score),Preprocess matched sample fastq,r2_raw_fastqc.zip,35,40,39,40,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_percent_reads_filtered,Percentage of initial reads filtered out after trimming and quality filtering,Preprocess matched sample fastq,trimfilter_metrics.tsv,0,30,0,10,TRUE,TRUE,Losing more than 30% of reads indicates poor quality (as long as filters are set correctly)
Matched,ms_total_reads_r1,Total number of reads obtained from standard Illumina sequencing by AGRF (x million reads),Preprocess matched sample fastq,r1_raw_fastqc.zip,200,Inf,300,Inf,TRUE,TRUE,AGRF sequences to 100Gb or ~333 million read pairs
Matched,ms_total_reads_r2,Total number of reads obtained from standard Illumina sequencing by AGRF (x million reads),Preprocess matched sample fastq,r2_raw_fastqc.zip,200,Inf,300,Inf,TRUE,TRUE,AGRF sequences to 100Gb or ~333 million read pairs
Matched,ms_overrepresented_sequences_r1,Percentage of total sequences made up by any one identical sequence,Preprocess matched sample fastq,trimfilter_r1_fastqc.zip,0,1,0,0.1,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_overrepresented_sequences_r2,Percentage of total sequences made up by any one identical sequence,Preprocess matched sample fastq,trimfilter_r2_fastqc.zip,0,1,0,0.1,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_gc_deviation_r1,The percentage of reads deviating from a normal distribution for mean GC content,Preprocess matched sample fastq,trimfilter_r1_fastqc.zip,0,30,0,15,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_gc_deviation_r2,The percentage of reads deviating from a normal distribution for mean GC content,Preprocess matched sample fastq,trimfilter_r2_fastqc.zip,0,30,0,15,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_per_base_content_diff_r1,Percent difference in the proportion of A/T or C/G at each position in reads,Preprocess matched sample fastq,trimfilter_r1_fastqc.zip,0,20,0,10,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_per_base_content_diff_r2,Percent difference in the proportion of A/T or C/G at each position in reads,Preprocess matched sample fastq,trimfilter_r2_fastqc.zip,0,20,0,10,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_per_base_sequencing_quality_r1,Lower quartile of IQR for base quality at each position in reads (Phred score),Preprocess matched sample fastq,r1_raw_fastqc.zip,30,40,35,40,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_per_base_sequencing_quality_r2,Lower quartile of IQR for base quality at each position in reads (Phred score),Preprocess matched sample fastq,r2_raw_fastqc.zip,30,40,35,40,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_per_tile_sequencing_quality_r1,Percent of flow cell tiles where mean quality score is <Q36,Preprocess matched sample fastq,r1_raw_fastqc.zip,0,10,0,5,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_per_tile_sequencing_quality_r2,Percent of flow cell tiles where mean quality score is <Q36,Preprocess matched sample fastq,r2_raw_fastqc.zip,0,10,0,5,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_sequence_length_r1,Peak of read length distribution (bp),Preprocess matched sample fastq,r1_raw_fastqc.zip,150,150,150,150,TRUE,TRUE,Reads should all be 150bp (if requesting 150PE)
Matched,ms_sequence_length_r2,Peak of read length distribution (bp),Preprocess matched sample fastq,r2_raw_fastqc.zip,150,150,150,150,TRUE,TRUE,Reads should all be 150bp (if requesting 150PE)
Matched,ms_per_base_N_content_r1,Percentage of bases at each read position recorded as N,Preprocess matched sample fastq,trimfilter_r1_fastqc.zip,0,10,0,5,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
Matched,ms_per_base_N_content_r2,Percentage of bases at each read position recorded as N,Preprocess matched sample fastq,trimfilter_r2_fastqc.zip,0,10,0,5,TRUE,TRUE,Stricter than fastqc warnings due to requirement for increased accuracy
